page,text_in_row,url
3,54 விந்ததினூறி 54 45,https://drive.google.com/open?id=0Bw1TGT80HnrbYmhySkZ4R1hiOFk
3,55 விறல்மாைன் 55 46,https://drive.google.com/open?id=0Bw1TGT80HnrbTHhEQWZnWjFMMVk
3,56 பவங்ைாளம்பாண 56 461,https://drive.google.com/open?id=0Bw1TGT80HnrbaGowNEFiNXRjcTQ
3,57 அபைாை 57 47,https://drive.google.com/open?id=0Bw1TGT80Hnrbc3JlMWVDbjJIeTQ
3,58 அருத்திவாழ் 58 48,https://drive.google.com/open?id=0Bw1TGT80HnrbQVZaeFBCVlBiRzQ
3,59 அவனிதனிசல 59 49,https://drive.google.com/open?id=0Bw1TGT80HnrbZEVmVVM0QW1OZlU
3,60 ஆறுமுைம் 60 50,https://drive.google.com/open?id=0Bw1TGT80HnrbZzlCWFNNbkEzS0E
3,61 உலைபசு 61 51,https://drive.google.com/open?id=0Bw1TGT80HnrbQUFjS2gtd3dtZGM
3,62 ஒருபபாழுதும் 62 52,https://drive.google.com/open?id=0Bw1TGT80HnrbMmtlYzlfWjhQQzg
3,63 ஒருவகைபயாருவர் 63 53,https://drive.google.com/open?id=0Bw1TGT80HnrbcFQ3U1lFc01vZzA
3,64 ைைகலபபாரி 64 54,https://drive.google.com/open?id=0Bw1TGT80HnrbMG1kalJrQXVWMk0
3,65 ைதிகய 65 55,https://drive.google.com/open?id=0Bw1TGT80Hnrbb1BRNTcwNXpJTjA
3,66 ைரியபபரிய 66 56,https://drive.google.com/open?id=0Bw1TGT80HnrbdUcybmJBWXQtY1k
3,67 ைருப்புவிலில் 67 486,https://drive.google.com/open?id=0Bw1TGT80HnrbQ2xRMlVpWDg0c1U
3,68 ைருவினுரு 68 57,https://drive.google.com/open?id=0Bw1TGT80HnrbVHZwOUxtMHJzZXc
3,69 குைம்கப 69 58,https://drive.google.com/open?id=0Bw1TGT80HnrbRGtuc0hlOXN6Q0E
4,70 குருதிமலசலம் 70 59,https://drive.google.com/open?id=0Bw1TGT80HnrbQXR2U2NLZ0psRzQ
4,71 சிவனார்மனம் 71 60,https://drive.google.com/open?id=0Bw1TGT80HnrbYnRaSGtvOGliQlU
4,72 சீயுதிை 72 427,https://drive.google.com/open?id=0Bw1TGT80HnrbbnJKbVNmZ2lMY1k
4,73 சீறலசைன் 73 61,https://drive.google.com/open?id=0Bw1TGT80HnrbUlFER2RpbC1aMFU
4,74 சுருதிமுடி 74 62,https://drive.google.com/open?id=0Bw1TGT80HnrbSDNxVWNYX0c0TEU
4,75 ஞானங்சைாள் 75 63,https://drive.google.com/open?id=0Bw1TGT80HnrbNURST2xMRjlNTDQ
4,76 தைைநறு 76 64,https://drive.google.com/open?id=0Bw1TGT80HnrbUE1SRzVWMWRpOE0
4,77 தமருமமரும் 77 65,https://drive.google.com/open?id=0Bw1TGT80HnrbVmdIOFJmREVBdGs
4,78 தகலவலி 78 66,https://drive.google.com/open?id=0Bw1TGT80HnrbWHNHOGRfNFl2Y3M
4,79 திைமிலி 79 67,https://drive.google.com/open?id=0Bw1TGT80Hnrbd29iWURibmNKNnc
4,80 திமிையுததி 80 68,https://drive.google.com/open?id=0Bw1TGT80HnrbY3FLa2U2U2Jmc3M
4,81 பைர்தற்ைரிதான 81 69,https://drive.google.com/open?id=0Bw1TGT80HnrbMkloOXE5OW9KTzg
4,82 பஞ்சபாதைன் 82 70,https://drive.google.com/open?id=0Bw1TGT80HnrbRUdaSW5ramFGeVU
